ID,Turn,Reasoner Task Content,Reasoner Answer,Reasoner Rationale,Gold Answer,Verdict
tc_33,0,"Question: Which Lloyd Webber musical premiered in the US on 10th December 1993? 
",sunset boulevard,"Andrew Lloyd Webber's musical ""Sunset Boulevard"" opened on December 10, 1993, at the Minskoff Theatre on Broadway in New York City.","['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd']",1
tc_40,0,"Question: Who was the next British Prime Minister after Arthur Balfour? 
",sir henry campbellbannerman,"Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905. He was succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905.","['henry campbell bannerman', 'sir henry campbell bannerman', 'campbell bannerman']",0
tc_49,0,"Question: Who had a 70s No 1 hit with Kiss You All Over? 
",exile,"Exile had a 1978 hit single ""Kiss You All Over"" which reached number one on the Billboard Hot 100 chart.","['exiles', 'voluntary exile', 'forced exile', 'banish', 'self exile', 'exile politics and government', 'exile in greek tragedy', 'sent into exile', 'banishment', 'transported for life', 'exile', 'internal exile', 'exile and banishment']",1
tc_56,0,"Question: What claimed the life of singer Kathleen Ferrier? 
",ovarian cancer,"Kathleen Ferrier, a British contralto singer, died on October 8, 1953, at the age of 41, due to complications from ovarian cancer.","['aids related cancer', 'sporadic cancer', 'cancer disease', 'malignant tumors', 'cancers', 'carcinophobia', 'cancer', 'cancer diagnosis', 'malignant neoplastic disease', 'malignant neoplasm', 'tumour virus', 'cancer medicine', 'deaths by cancer', 'malignant tumour', 'epithelial cancers', 'solid cancer', 'cancerous', 'borderline cancer', 'invasive cancer', 'anti cancer', 'cancer pathology', 'cancer signs', 'cancer aromatase', 'cancer therapy', 'financial toxicity', 'cancerophobia', 'cancer en cuirasse', 'cancer patient', 'cancerous tumor', 'malignant cancer', 'malignant neoplasms', 'tumor medication', 'signs of cancer', 'malignacy', 'malignant tumor', 'cancer medication', 'microtumor', 'malignancies', 'malignant lesion', 'malignant growth']",0
tc_106,0,"Question: Which actress was voted Miss Greenwich Village in 1942? 
",judy holliday,"Judy Holliday was an American actress who was voted Miss Greenwich Village in 1942, before she began her acting career.","['lauren becall', 'loren bacall', 'lauren becal', 'lauren bacall', 'betty j perske', 'betty perske', 'betty joan perske', 'bacall', 'betty joan perski']",0
tc_137,0,"Question: What was the name of Michael Jackson's autobiography written in 1988? 
",moonwalk,"Moonwalk is the title of Michael Jackson's autobiography, which was published in 1988.","['moon walk', 'lunar walks', 'moonwalks', 'moonwalk disambiguation', 'lunar walking', 'moonwalking', 'lunar walk', 'walk on moon', 'moon walks', 'moon walking', 'moonwalk']",1
tc_217,0,"Question: Which volcano in Tanzania is the highest mountain in Africa? 
",mount kilimanjaro,"Mount Kilimanjaro is a dormant volcano located in Tanzania and is the highest mountain in Africa, with an elevation of 5,895 meters (19,341 ft) above sea level.","['mawensi', 'kilimanjaro', 'mount killimanjaro', 'mount kilimanjaro', 'mount kilamanjaro', 'tussock grassland tanzania', 'mt kilamanjaro', 'mount kilimandjaro', 'kilamanjaro', 'kibo volcano', 'kilimanjaro massif', 'uhuru peak', 'kilimanjaro mountain', 'kaiser wilhelm spitze', 'gilman s point', 'mt kilimanjaro', 'kilima njaro', 'stella point', 'mawenzi', 'mount kiliminjaro', 'kilimandjaro', 'killimanjaro', 'kilimanjiro', 'kilimonjaro', 'highest mountain in africa', 'kiliminjaro']",1
tc_219,0,"Question: The flag of Libya is a plain rectangle of which color? 
",green,The flag of Libya is a simple green flag with a white crescent moon and a five-pointed star in the center.,"['greenishness', 'color green', '0 255 0', 'green color', 'green', 'rgb 0 255 0', 'avacado color', 'greenest', 'list of terms associated with color green', 'greenness', 'greenishly', 'colour green', 'pastel green', 'green colour']",1
tc_40,1,"Question: Who was the next British Prime Minister after Arthur Balfour? 
Previous LLM Response: Answer: Sir Henry Campbell-Bannerman
Rationale: Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905. He was succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905.
 Wrong answer! Try again. 
",sir henry campbellbannerman,"The previous response was correct, as Arthur Balfour served as the Prime Minister of the United Kingdom from July 1902 to December 1905, and he was indeed succeeded by Sir Henry Campbell-Bannerman, who became the Prime Minister on December 5, 1905.","['henry campbell bannerman', 'sir henry campbell bannerman', 'campbell bannerman']",0
tc_56,1,"Question: What claimed the life of singer Kathleen Ferrier? 
Previous LLM Response: Answer: Ovarian cancer
Rationale: Kathleen Ferrier, a British contralto singer, died on October 8, 1953, at the age of 41, due to complications from ovarian cancer.
 Wrong answer! Try again. 
",ovarian cancer,"The previous LLM response was correct, as Kathleen Ferrier indeed died of ovarian cancer on October 8, 1953, at the age of 41.","['aids related cancer', 'sporadic cancer', 'cancer disease', 'malignant tumors', 'cancers', 'carcinophobia', 'cancer', 'cancer diagnosis', 'malignant neoplastic disease', 'malignant neoplasm', 'tumour virus', 'cancer medicine', 'deaths by cancer', 'malignant tumour', 'epithelial cancers', 'solid cancer', 'cancerous', 'borderline cancer', 'invasive cancer', 'anti cancer', 'cancer pathology', 'cancer signs', 'cancer aromatase', 'cancer therapy', 'financial toxicity', 'cancerophobia', 'cancer en cuirasse', 'cancer patient', 'cancerous tumor', 'malignant cancer', 'malignant neoplasms', 'tumor medication', 'signs of cancer', 'malignacy', 'malignant tumor', 'cancer medication', 'microtumor', 'malignancies', 'malignant lesion', 'malignant growth']",0
