ID,Question,Answers,Documents
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,"[""Arthur's Magazine""]","[""Arthur's Magazine"", 'First for Women']"
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,['Delhi'],"['Oberoi family', 'The Oberoi Group']"
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",['President Richard Nixon'],"['Allie Goertz', 'Allie Goertz', 'Allie Goertz', 'Milhouse Van Houten']"
5a82171f5542990a1d231f4a, What nationality was James Henry Miller's wife?,['American'],"['Peggy Seeger', 'Peggy Seeger', 'Ewan MacColl']"
5a84dd955542997b5ce3ff79,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",['alcohol'],"['Cadmium chloride', 'Ethanol']"
5a7e36045542991319bc9440,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",['Jonathan Stark'],"['Jonathan Stark (tennis)', 'Jonathan Stark (tennis)', 'Henri Leconte']"
5adf44985542993a75d2646d,Which genus of moth in the world's seventh-largest country contains only one species?,['Crambidae'],"['Indogrammodes', 'Indogrammodes', 'India', 'India']"
5a832c3455429954d2e2ec41,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",['Badr Hari'],"['Global Fighting Championship', 'Global Fighting Championship', 'Badr Hari', 'Badr Hari']"
5a7d0db955429909bec76924,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",['2006'],"['House of Anubis', 'Het Huis Anubis']"
5a89372855429951533612e6,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,['6.213 km long'],"['2013 Liqui Moly Bathurst 12 Hour', '2013 Liqui Moly Bathurst 12 Hour', 'Mount Panorama Circuit', 'Mount Panorama Circuit']"
5abd90545542996e802b47d7,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",['Jaime Meline'],"['Fast Cars, Danger, Fire and Knives', 'El-P']"
5aba66c855429939ce03dcdb,"Gunmen from Laredo starred which narrator of ""Frontier""?",['Walter Darwin Coy'],"['Gunmen from Laredo', 'Walter Coy', 'Walter Coy']"
5a7722d655429966f1a36c99,Where did the form of music played by Die Rhöner Säuwäntzt originate?,['United States'],"['Die Rhöner Säuwäntzt', 'Skiffle']"
5ade025e5542997dc790711e,In which American football game was Malcolm Smith named Most Valuable player?,['Super Bowl XLVIII'],"['Malcolm Smith (American football)', 'Super Bowl XLVIII']"
5ab381b155429969a97a816b,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",['US 60'],"['Zilpo Road', 'Morehead, Kentucky']"
