,ID,Question,Answers,Gold_retrieval
0,tc_33,Which Lloyd Webber musical premiered in the US on 10th December 1993?,"['sunset boulevard', 'sunset bulevard', 'west sunset boulevard', 'sunset blvd']",[['Andrew Lloyd Webber']]
1,tc_40,Who was the next British Prime Minister after Arthur Balfour?,"['henry campbell bannerman', 'sir henry campbell bannerman', 'campbell bannerman']","[['Prime Minister of the United Kingdom'], ['Arthur Balfour']]"
2,tc_49,Who had a 70s No 1 hit with Kiss You All Over?,"['exiles', 'voluntary exile', 'forced exile', 'banish', 'self exile', 'exile politics and government', 'exile in greek tragedy', 'sent into exile', 'banishment', 'transported for life', 'exile', 'internal exile', 'exile and banishment']",[['Kiss You All Over']]
3,tc_56,What claimed the life of singer Kathleen Ferrier?,"['aids related cancer', 'sporadic cancer', 'cancer disease', 'malignant tumors', 'cancers', 'carcinophobia', 'cancer', 'cancer diagnosis', 'malignant neoplastic disease', 'malignant neoplasm', 'tumour virus', 'cancer medicine', 'deaths by cancer', 'malignant tumour', 'epithelial cancers', 'solid cancer', 'cancerous', 'borderline cancer', 'invasive cancer', 'anti cancer', 'cancer pathology', 'cancer signs', 'cancer aromatase', 'cancer therapy', 'financial toxicity', 'cancerophobia', 'cancer en cuirasse', 'cancer patient', 'cancerous tumor', 'malignant cancer', 'malignant neoplasms', 'tumor medication', 'signs of cancer', 'malignacy', 'malignant tumor', 'cancer medication', 'microtumor', 'malignancies', 'malignant lesion', 'malignant growth']",[['Kathleen Ferrier']]
4,tc_106,Which actress was voted Miss Greenwich Village in 1942?,"['lauren becall', 'loren bacall', 'lauren becal', 'lauren bacall', 'betty j perske', 'betty perske', 'betty joan perske', 'bacall', 'betty joan perski']",[['Lauren Bacall']]
5,tc_137,What was the name of Michael Jackson's autobiography written in 1988?,"['moon walk', 'lunar walks', 'moonwalks', 'moonwalk disambiguation', 'lunar walking', 'moonwalking', 'lunar walk', 'walk on moon', 'moon walks', 'moon walking', 'moonwalk']",[['Michael Jackson']]
6,tc_217,Which volcano in Tanzania is the highest mountain in Africa?,"['mawensi', 'kilimanjaro', 'mount killimanjaro', 'mount kilimanjaro', 'mount kilamanjaro', 'tussock grassland tanzania', 'mt kilamanjaro', 'mount kilimandjaro', 'kilamanjaro', 'kibo volcano', 'kilimanjaro massif', 'uhuru peak', 'kilimanjaro mountain', 'kaiser wilhelm spitze', 'gilman s point', 'mt kilimanjaro', 'kilima njaro', 'stella point', 'mawenzi', 'mount kiliminjaro', 'kilimandjaro', 'killimanjaro', 'kilimanjiro', 'kilimonjaro', 'highest mountain in africa', 'kiliminjaro']","[['Tanzania'], ['Mount Kilimanjaro']]"
7,tc_219,The flag of Libya is a plain rectangle of which color?,"['greenishness', 'color green', '0 255 0', 'green color', 'green', 'rgb 0 255 0', 'avacado color', 'greenest', 'list of terms associated with color green', 'greenness', 'greenishly', 'colour green', 'pastel green', 'green colour']","[['Flag of Libya'], ['Flag']]"
8,tc_241,Of which African country is Niamey the capital?,"['niger', 'iso 3166 1 ne', 'nigerien', 'republic of niger', 'niger country', 'ng ni', 'republique du niger', 'niger republic', 'nigerois', 'république du niger']",[['Niamey']]
9,tc_261,Which musical featured the song The Street Where You Live?,"['my fair lady musical', 'my fair lady', 'my fair lady 2010 film', 'why can t english 3f', 'my fair lady upcoming film', 'my fair lady 2012 film', 'my fair lady 2014 film', 'my fair lady 2015 film', 'i m ordinary man', 'enry iggins']","[['Musical theatre'], ['On the Street Where You Live']]"
10,tc_267,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","['hitler s medical health', 'adlof hitler', 'adolf hiedler', 'hitler adolf', 'hitleradolf', 'adolpf hitler', 'history of adolf hitler', 'hitleradolph', 'adolphhitler', 'adolf hitler s health', 'adoff hitler', 'hitlar', 'adolf hiler', 'adolph hiedler', 'adolf hitle', 'aldof hilter', 'adolph hiter', 'hitler s', 'hitler', 'adolf hister', 'adolf hittler', 'nazi leader', 'adolfhitler', 'adolf hitler s medical health', 'hitler adolph', 'hitler s health', 'herr hitler', 'adolfus hitler', 'adolph hitler', 'adolph schicklegruber', 'adolf hilter', 'adolf hitler s medical condition', 'health of adolf hitler', 'hitlerian', 'adolph schicklgruber', 'adolph hitler s medical health', 'adolph hitler s health', 'adolph schickelgruber', 'adolf schicklgruber', 'day of potsdam', 'adolf hitlier', 'adolf hitler', 'hitlers medical health', 'hittler', 'hitlers', 'herr wolf', 'hitlet', 'adolf schickelgruber', 'adolf schicklegruber', 'adolph hittler']",[['20 July plot']]
11,tc_276,Who had an 80s No 1 hit with Hold On To The Nights?,"['richard marx', 'richard noel marx']",[['Hold On to the Nights']]
12,tc_280,Who directed the classic 30s western Stagecoach?,"['john ford 1895 1973', 'sean o feeney', 'ford john 1895 1973', 'john ford statue', 'ford john', 'john o feeney', 'john ford', 'sean aloysius o feeney', 'argosy pictures', 'cavalry trilogy', 'john ford film director', 'john ford director', 'john martin o feeney']",[['Stagecoach (1939 film)']]
13,tc_282,Dave Gilmore and Roger Waters were in which rock group?,"['screaming abdabs', 'megadeaths', 'clive metcalfe', 'pink floyd band', 'pink flowd', 'meggadeaths', 'pi5', 'pink floyd', 'screaming ab dabs', 'grey floyd', 'architectural abdabs', 'pink flod', 'pinkfloyd', 'pik floyd', 'pink floyd sound', 'tea set', 'pink floid', 't set', 'pink floyd trivia', 'notable or frequent contributors to pink floyd']","[['Roger Waters'], ['Rock music']]"
14,tc_288,Which highway was Revisited in a classic 60s album by Bob Dylan?,"['61', 'sixty one']",[['Bob Dylan']]
15,tc_298,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,"['danubian carpathian area', 'roumania', 'austro hungarian empire romania', 'romania', 'rromania', 'iso 3166 1 ro', 'rou', 'country rom', 'ro country', 'rumunia', 'romainia', 'rumänien', 'etymology of romania', 'north danubian region', 'romînia', 'rumania', 'romanian state', 'carpathian danubian space', 'românia', 'republic of romania', 'roumanie']","[['Eastern Bloc'], ['1984 Summer Olympics'], ['1984 Summer Olympics boycott']]"
16,tc_304,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,['wild palms'],"[['Jim Belushi'], ['Bruce Wagner'], ['Wild Palms']]"
17,tc_316,If I Were A Rich Man Was a big hit from which stage show?,"['fiddler on roof', 'sprintze', 'anatevka', '2 life', 'fiddler on reoof']",[['If I Were a Rich Man (song)']]
18,tc_349,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"['mutiny on bounty history', 'hms bounty mutineers', 'bounty vessel', 'mutiny on bounty', 'thomas ledward']","[['Men Against the Sea'], [""Pitcairn's Island (novel)""]]"
19,tc_379,What was Truman Capote's last name before he was adopted by his stepfather?,"['personhood theory', 'persons', 'person', 'perſon', 'perſons', 'person philosophical']",[['Truman Capote']]
20,tc_397,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?","['boojum disambiguation', 'boojum']",[['The Hunting of the Snark']]
21,tc_455,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,"['my posse don t do homework', 'dangerous minds', 'dangerous minds film']","[['Michelle Pfeiffer'], ['Coolio'], [""Gangsta's Paradise""], ['Dangerous Minds']]"
22,tc_510,What was President Gerald Ford's middle name?,"['rudolf', 'rudolph', 'rodolphe', 'rudolph disambiguation', 'rodolph']",[['Gerald Ford']]
23,tc_515,Art Garfunkel trained for which profession although he didn't qualify?,"['master builder occupation', 'graziani corazza', 'architecht', 'clifford lawrie', 'architechts', 'architects', 'registered architect', 'hok canada inc', 'architect', 'stanford downey architects inc']",[['Art Garfunkel']]
24,tc_517,Who was the last inmate of Spandau jail in Berlin?,"['rudolf hesse', 'hess rudolf', 'walther richard rudolf hess', 'rudolf hess', 'rudolf w hess', 'rudolf walter richard heß', 'rudolf walter richard hess', 'rudolph heß', 'rudolf heß', 'rudolph hess']",[['Spandau Prison']]
25,tc_538,In the 80s who wrote the novel Empire of The Sun?,"['ballardian', 'user s guide to millenium', 'james g ballard', 'j g ballard', 'jg ballard', 'james graham ballard']","[['Empire of the Sun (band)'], ['Empire of the Sun']]"
26,tc_540,Kagoshima international airport is in which country?,"['nihon koku', 'nihon', 'japoa', 'japang', 'japan', '日本國', 'etymology of japan', 'iso 3166 1 jp', 'jpan', 'japan country', 'riben', 'rìběn', '🗾', 'japanese financial sector', 'japian', 'nippon koku', 'state of japan', 'nippon', 'modern–era japan', 'republic of japan', '日本国', 'jpn', 'japao', 'ja pan', '日本']","[['Kagoshima Airport'], ['Airport']]"
27,tc_543,In which sport could the Pacers take on the Pistons?,"['men s basketball', 'baksetball', 'baketball', 'boy s basketball', 'basketball club', 'high school basketball', 'rim basketball', 'basketball team', 'bball', 'unicycle basketball', 'basketball worldwide', 'shoot hoops', 'b ball', 'basketball', 'basketball net', 'women s hoops', 'basketball gear', 'basketballer', 'basket ball', 'basketball rim', '🏀', 'basketball parity worldwide', 'basketball player']","[['Indiana Pacers'], ['Detroit Pistons']]"
