ID,Turn,Reasoner Task Content,Reasoner Answer,Reasoner Rationale,Gold Answer,Gate Verdict
tc_1007,0,"Question: Who was born first, Kiefer Sutherland or Christian Slater? 
",kiefer sutherland,"Kiefer Sutherland was born on December 21, 1966, and Christian Slater was born on August 18, 1969, so Kiefer Sutherland was born first.","['keifer sutherland', 'kiefer sutherland', 'kiefer william frederick dempsey george rufus sutherland', 'kiefer sutherlund', 'kiefer sutherland characters', 'promised land 1987', 'keefer sutherland', 'kiefer william fredrick dempsey george rufus sutherland', 'keifer southerland']",1
tc_106,1,"Question: Which actress was voted Miss Greenwich Village in 1942? 
Previous LLM Response: Answer: Judy Holliday
Rationale: Judy Holliday was an American actress who was voted Miss Greenwich Village in 1942, before she began her acting career.
 Wrong answer! Try again. 
",lauren bacall,"According to various sources, Lauren Bacall was indeed voted Miss Greenwich Village in 1942, before she became a famous actress.","['lauren becall', 'loren bacall', 'lauren becal', 'lauren bacall', 'betty j perske', 'betty perske', 'betty joan perske', 'bacall', 'betty joan perski']",1
tc_106,0,"Question: Which actress was voted Miss Greenwich Village in 1942? 
",judy holliday,"Judy Holliday was an American actress who was voted Miss Greenwich Village in 1942, before she began her acting career.","['lauren becall', 'loren bacall', 'lauren becal', 'lauren bacall', 'betty j perske', 'betty perske', 'betty joan perske', 'bacall', 'betty joan perski']",0
tc_137,0,"Question: What was the name of Michael Jackson's autobiography written in 1988? 
",moonwalk,"Moonwalk is the title of Michael Jackson's autobiography, which was published in 1988.","['moon walk', 'lunar walks', 'moonwalks', 'moonwalk disambiguation', 'lunar walking', 'moonwalking', 'lunar walk', 'walk on moon', 'moon walks', 'moon walking', 'moonwalk']",1
tc_219,0,"Question: The flag of Libya is a plain rectangle of which color? 
",green,The flag of Libya is a simple green flag with a white crescent moon and a five-pointed star in the center.,"['greenishness', 'color green', '0 255 0', 'green color', 'green', 'rgb 0 255 0', 'avacado color', 'greenest', 'list of terms associated with color green', 'greenness', 'greenishly', 'colour green', 'pastel green', 'green colour']",1
tc_241,0,"Question: Of which African country is Niamey the capital? 
",niger,"Niamey is the capital of Niger, a landlocked country located in West Africa.","['niger', 'iso 3166 1 ne', 'nigerien', 'republic of niger', 'niger country', 'ng ni', 'republique du niger', 'niger republic', 'nigerois', 'république du niger']",1
tc_261,0,"Question: Which musical featured the song The Street Where You Live? 
",my fair lady,"The song ""The Street Where You Live"" is a famous musical number from the 1956 Broadway musical My Fair Lady, with music by Frederick Loewe and lyrics by Alan Jay Lerner.","['my fair lady musical', 'my fair lady', 'my fair lady 2010 film', 'why can t english 3f', 'my fair lady upcoming film', 'my fair lady 2012 film', 'my fair lady 2014 film', 'my fair lady 2015 film', 'i m ordinary man', 'enry iggins']",1
tc_267,0,"Question: ""Who was the target of the failed """"Bomb Plot"""" of 1944?"" 
",adolf hitler,"The failed ""Bomb Plot"" of 1944 refers to the 20 July plot, a failed assassination attempt against Adolf Hitler, the leader of Nazi Germany, on July 20, 1944.","['hitler s medical health', 'adlof hitler', 'adolf hiedler', 'hitler adolf', 'hitleradolf', 'adolpf hitler', 'history of adolf hitler', 'hitleradolph', 'adolphhitler', 'adolf hitler s health', 'adoff hitler', 'hitlar', 'adolf hiler', 'adolph hiedler', 'adolf hitle', 'aldof hilter', 'adolph hiter', 'hitler s', 'hitler', 'adolf hister', 'adolf hittler', 'nazi leader', 'adolfhitler', 'adolf hitler s medical health', 'hitler adolph', 'hitler s health', 'herr hitler', 'adolfus hitler', 'adolph hitler', 'adolph schicklegruber', 'adolf hilter', 'adolf hitler s medical condition', 'health of adolf hitler', 'hitlerian', 'adolph schicklgruber', 'adolph hitler s medical health', 'adolph hitler s health', 'adolph schickelgruber', 'adolf schicklgruber', 'day of potsdam', 'adolf hitlier', 'adolf hitler', 'hitlers medical health', 'hittler', 'hitlers', 'herr wolf', 'hitlet', 'adolf schickelgruber', 'adolf schicklegruber', 'adolph hittler']",1
tc_276,0,"Question: Who had an 80s No 1 hit with Hold On To The Nights? 
",richard marx,"Richard Marx had a number one hit on the Billboard Hot 100 chart in 1988 with the song ""Hold On to the Night"".","['richard marx', 'richard noel marx']",1
tc_280,0,"Question: Who directed the classic 30s western Stagecoach? 
",john ford,"John Ford is widely regarded as one of the most influential and iconic Western film directors, and Stagecoach (1939) is one of his most famous films, starring John Wayne and Claire Trevor.","['john ford 1895 1973', 'sean o feeney', 'ford john 1895 1973', 'john ford statue', 'ford john', 'john o feeney', 'john ford', 'sean aloysius o feeney', 'argosy pictures', 'cavalry trilogy', 'john ford film director', 'john ford director', 'john martin o feeney']",1
